Bought Item,Confidence,Expected To Be Bought,Lift,Support,_id
Red Sauce,0.10827067669172931,Mint Sauce,3.941582216410591,0.005374337538254833,172
Onion Chutney,0.806282722513089,Plain Papadum,3.00382915281086,0.011495110845711726,173
Onion Chutney,0.2356020942408377,Red Sauce,4.7464079045781995,0.0033589609614092706,174
Red Sauce,0.8333333333333334,Plain Papadum,3.1046069707081942,0.007464357692020602,175
Keema Rice,0.3333333333333333,None,3.2787567302985803,0.009106516384265134,176
Keema Rice,0.12021857923497267,Plain Papadum,3.80749008513222,0.003284317384489065,177
Mango Chutney,0.38554216867469876,Mint Sauce,3.5304910688550506,0.007165783384339777,178
Mango Chutney,0.2369477911646586,Onion Chutney,3.0759588742567163,0.004403971038292155,179
Onion Chutney,0.8681318681318682,Plain Papadum,3.23424989915535,0.005896842576696275,180
Mango Chutney,0.5526315789473684,Mint Sauce,5.0605640896499615,0.0031350302306486525,181
Mango Chutney,0.8684210526315789,Plain Papadum,3.235327264211697,0.004926476076733597,182
Keema Rice,0.26775956284153,Meat Samosa,3.009374885392599,0.0073150705381801896,183
Mint Sauce,0.9090909090909092,Plain Papadum,3.3868439680453033,0.003732178846010301,184
Korma,0.6065573770491803,Mango Chutney,3.9275249784088295,0.005523624692095245,185
Mango Chutney,0.10294828419526342,Korma,3.2528258569904343,0.015899081884003883,186
Korma,0.8114754098360656,Plain Papadum,3.023174656722406,0.007389714115100396,187
Korma,0.8266666666666667,Plain Papadum,3.0797701149425287,0.004627901769052773,188
Mango Chutney,0.3701657458563536,Mint Sauce,3.3896859174556178,0.005001119653653803,189
Mango Chutney,0.23204419889502761,Onion Chutney,3.012302454066555,0.0031350302306486525,190
Mango Chutney,0.8342541436464088,Plain Papadum,3.1080374756482034,0.011271180114951108,191
Onion Chutney,0.96,Plain Papadum,3.5765072302558396,0.0035828916921698886,192
Lime Pickle,0.3424657534246575,Mango Chutney,6.372241248097413,0.009330447115025751,193
Lime Pickle,0.5561643835616439,Mango Chutney,3.601224865430325,0.015152646114801821,194
Lime Pickle,0.18356164383561643,Mango Chutney,4.4631131442209675,0.005001119653653803,195
Lime Pickle,0.29315068493150687,Mango Chutney,6.713401241072474,0.007986862730462044,196
Lime Pickle,0.15616438356164386,Mango Chutney,6.117351598173516,0.004254683884451743,197
Lime Pickle,0.2438356164383562,Mango Chutney,3.31641193241082,0.006643278345898336,198
